variable,,Phylum,Phylum,Class,Class,Order,Order,Family,Family,Genus,Genus
Kingdom,,Bacteria,Fungi,Bacteria,Fungi,Bacteria,Fungi,Bacteria,Fungi,Bacteria,Fungi
sample_id,sample_mode,,,,,,,,,,
S01,Flight,3.5987836111394346e-05,0.002304555929799681,3.5987836111394346e-05,0.0055984125441039395,0.00012595742638988022,0.00699944530539655,0.0007137587495426546,0.010922337037015858,0.0013315499361215908,0.1556175695226767
S02,Ground,0.0,0.005093508928718289,0.0,0.00859152690129339,0.0,0.00859152690129339,7.910140800506249e-05,0.014682903025950031,0.00037116814525452397,0.01803836854196251
S03,Flight,1.1805469474007307e-05,0.005528764613108872,1.1805469474007307e-05,0.028794337649802944,0.00022430392000613884,0.038540490070254826,0.001003464905290621,0.0579313817715127,0.0033350451264070645,0.1045989110327005
S04,Ground,2.479205662505733e-05,0.0,2.479205662505733e-05,0.00013288683357252963,2.479205662505733e-05,0.00013288683357252963,2.479205662505733e-05,0.008238983681496838,0.00012396028312528664,0.10355427984195326
S05,Flight,7.414437392490658e-05,0.0005325623858794887,7.414437392490658e-05,0.0008284303780347602,7.414437392490658e-05,0.0008284303780347602,0.0001927753722047571,0.003719483329951985,0.000519010617474346,0.004979035639412998
S06,Ground,0.0,0.0,0.0,0.0,3.0670142616163165e-05,0.0,0.000368041711393958,0.0,0.0010581199202576292,0.0
S07,Flight,4.181301220939956e-05,0.0,4.181301220939956e-05,0.0,4.181301220939956e-05,0.0018403333834706211,4.181301220939956e-05,0.007432115587092893,0.0006271951831409935,0.007432115587092893
S08,Ground,0.0,0.0,0.0,0.029938888571591753,0.0,0.029938888571591753,0.0,0.03367411045747901,0.0004867127421395892,0.10017705180193043
S09,Flight,0.0,0.0,0.0,0.0,0.0,0.0,0.00015482672309240575,0.0,0.0008257425231594974,0.10426561929119474
S10,Ground,0.0,0.0038878303212271687,0.0,0.01500279076928999,0.00026693063140216435,0.02641607483111034,0.0004115180567450034,0.03347960813749832,0.001690560665547041,0.07026002271108801
S11,Ground,0.0,0.0064416610106744,0.0,0.013599062133645956,0.0001909390730775907,0.017609674831862775,0.0007637562923103627,0.03151724563460233,0.0017878840479083492,0.07804035293391744
S12,Ground,3.1084861672365556e-05,0.007717931448750387,0.00013988187752564502,0.013287948013178731,0.00013988187752564502,0.01503540419025429,0.0002953061858874728,0.021824999544933287,0.0009480882810071495,0.0622531263083168
S13,Flight,0.004249361772214444,0.006663260091977517,0.005616404512888084,0.011773122125702605,0.008004611710450466,0.011773122125702605,0.016486864860413408,0.01596320899335718,0.031161986329572594,0.040183955033214105
S15,Flight,0.0034550946348247463,0.024223918575063612,0.005084856255025099,0.024223918575063612,0.005823681522849258,0.024223918575063612,0.009778569721202113,0.024223918575063612,0.021947456485364742,0.024223918575063612
S16,Ground,0.004774561138255375,0.0,0.0062069294797319876,0.0,0.01010615440930721,0.0,0.015803797367625293,0.0,0.032896726242579534,0.0026421434709556608
S17,Flight,0.0013479883865615927,0.0,0.0027651043826904466,0.0025962378153838893,0.004320475597953823,0.0025962378153838893,0.006256048665837136,0.0025962378153838893,0.01669431771049357,0.006703013996082041
S18,Ground,0.0036520551470224367,0.0,0.004908995536377043,0.0,0.006799354704619009,0.0,0.009125189283346035,0.027640539457871545,0.023327625966211067,0.06339297636533582
S19,Flight,0.004251472951258704,0.004395572721508042,0.005735582931619354,0.013864068715051595,0.008558739510801643,0.016587882631002478,0.014673718978753794,0.031936357871678096,0.03346500624888413,0.05139217155704156
S20,Ground,0.004759523677241328,0.005086641761117795,0.006907791173583717,0.005086641761117795,0.010148711965479564,0.005086641761117795,0.02190862455321592,0.005086641761117795,0.05800322240124451,0.008590303721057853
S21,Flight,0.010985122637716125,0.0,0.015295536791314839,0.0025101189168836874,0.02041013268998794,0.0025101189168836874,0.04062726176115802,0.006565529791973895,0.09494169682348211,0.05366948009161934
S22,Ground,0.003190887793844414,0.0,0.004227589735304413,0.0,0.00748579583703584,0.0,0.01148450332552441,0.0,0.025769448259148557,0.0
